Date,Team,Acquired,Relinquised,Notes
2011-12-09,Blazers,,LaMarcus Aldridge,underwent procedure on heart for Wolff-Parkinson-White Syndrome (irregular heartbeat) (DTD)
2011-12-12,Spurs,,Gary Neal,appendectomy (out indefinitely)
2011-12-14,Lakers,,Derrick Caracter,surgery on left knee to repair torn menuscus (out indefinitely)
2011-12-16,Bobcats,,Eduardo Najera,surgery on left knee to repair torn cartilage (out indefinitely)
2011-12-16,Bobcats,,Reggie Williams,torn meniscus in left knee (out indefinitely)
2011-12-17,Celtics,,Jeff Green,surgery on heart to repair aortic aneurysm (out for season)
2011-12-20,Grizzlies,,Darrell Arthur,ruptured right Achilles tendon (out for season)
2011-12-22,Nets,,Brook Lopez,surgery on right foot to repair stress fracture (out indefinitely)
2011-12-25,Blazers,,Greg Oden,surgery on left knee (out indefinitely)
2011-12-25,Bobcats,,Reggie Williams,surrgery on left knee to repair torn meniscus (out indefinitely)
2011-12-25,Cavaliers,,Semih Erden,left thumb injury (out indefinitely)
2011-12-25,Clippers,,Reggie Evans,sprained right foot (DNP)
2011-12-25,Grizzlies,,Xavier Henry,right ankle injury (out indefinitely)
2011-12-25,Hawks,,Kirk Hinrich,surgery on left shoulder (out indefinitely)
2011-12-25,Hornets,,DaJuan Summers,hyperextended right knee (out indefinitely)
2011-12-25,Knicks,,Iman Shumpert,sprained MCL in right knee (out indefinitely)
2011-12-25,Knicks,,Mike Bibby,sore back (DNP)
2011-12-25,Raptors,,Linas Kleiza,recovering from microfracture surgery on right knee to repair cartilage damage (out indefinitely)
2011-12-25,Timberwolves,,Brad Miller,surgery on left knee (out indefinitely)
2011-12-25,Clippers,,Eric Bledsoe,surgery on right knee to repair torn lateral meniscus (out indefinitely)
2011-12-25,Clippers,,Eric Bledsoe,torn lateral meniscus in right knee (DTD)
2011-12-26,76ers,,Andres Nocioni,toe injury (DTD)
2011-12-26,Bobcats,,Tyrus Thomas,sprained left ankle (DNP)
2011-12-26,Bucks,,Carlos Delfino,sprained right wrist (DNP)
2011-12-26,Timberwolves,,Nikola Pekovic,groin injury (DTD)
2011-12-27,Lakers,,Matt Barnes,hip injury (DNP)
2011-12-27,Nets,,Jordan Williams,dehydration (DTD)
2011-12-28,Bobcats,,Tyrus Thomas,sprained left ankle (DNP)
2011-12-28,Celtics,,Chris Wilcox,bruised left shoulder (DNP)
2011-12-28,Hornets,,Eric Gordon,bruised right knee (DNP)
2011-12-28,Knicks,,Jared Jeffries,calf injury (DTD)
2011-12-30,Bobcats,,Tyrus Thomas,sprained left ankle (DNP)
2011-12-30,Clippers,,Chauncey Billups,sore right groin (DNP)
2011-12-30,Clippers,,Reggie Evans,sprained right foot (DNP)
2011-12-30,Grizzlies,,Mike Conley Jr.,sprained left ankle (DNP)
2011-12-30,Hawks,,Jason Collins,knee injury (DNP)
2011-12-30,Hornets,,Eric Gordon,bruised right knee (DNP)
2011-12-30,Jazz,,Al Jefferson,sprained right ankle (DNP)
2011-12-30,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,strained left hamstring (DNP)
2011-12-30,Timberwolves,,Malcolm Lee / Malcom Lee,surgery on left knee to repair torn meniscus (DNP)
2011-12-30,Timberwolves,,Nikola Pekovic,strained left adductor muscle (DNP)
2011-12-31,76ers,Andres Nocioni,,returned to lineup
2011-12-31,Knicks,,Amare Stoudemire / Amar'e Stoudemire,sprained left ankle (DNP)
2012-01-01,Bobcats,,Tyrus Thomas,sprained left ankle (DNP)
2012-01-01,Bulls,,Richard Hamilton,sore left groin (DNP)
2012-01-01,Clippers,,Chauncey Billups,sore right groin (DNP)
2012-01-01,Clippers,,Reggie Evans,sprained right foot (DNP)
2012-01-01,Grizzlies,,Mike Conley Jr.,sprained left ankle (DNP)
2012-01-01,Hornets,,Eric Gordon,bruised right knee (DNP)
2012-01-01,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2012-01-01,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-01,Grizzlies,,Xavier Henry,sprained right ankle (DNP)
2012-01-02,Bucks,,Mike Dunleavy Jr.,illness (DNP)
2012-01-02,Heat,,Mickell Gladness,left foot infection (DNP)
2012-01-02,Hornets,,Eric Gordon,bruised right knee (DNP)
2012-01-02,Knicks,,Amare Stoudemire / Amar'e Stoudemire,sprained left ankle (DNP)
2012-01-02,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2012-01-02,Spurs,,Emanuel Ginobili / Manu Ginobili,broken bone in left hand (out indefinitely)
2012-01-02,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,strained left hamstring (DNP)
2012-01-02,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-03,Bobcats,,Tyrus Thomas,sprained left ankle (DNP)
2012-01-03,Bucks,,Beno Udrih,sprained/bruised left shoulder (DNP)
2012-01-03,Bucks,,Mike Dunleavy Jr.,sore groin (DNP)
2012-01-03,Bulls,,C.J. Watson,sprained left elbow (DNP)
2012-01-03,Grizzlies,,Xavier Henry,sprained right ankle (DNP)
2012-01-04,76ers,,Nikola Vucevic,strained back (DNP)
2012-01-04,Bobcats,,Tyrus Thomas,sprained left ankle (DNP)
2012-01-04,Bulls,,C.J. Watson,sprained left elbow (DNP)
2012-01-04,Clippers,,Reggie Evans,sprained right foot (DNP)
2012-01-04,Heat,,Dwyane Wade,bruised left foot (DNP)
2012-01-04,Heat,,Mickell Gladness,left foot infection (DNP)
2012-01-04,Hornets,,Trevor Ariza,strained groin (DNP)
2012-01-04,Nets,,Deron Williams,sore ribs on right side (DNP)
2012-01-04,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2012-01-04,Thunder,,Ryan Reid,surgery to repair broken nose (out indefinitely)
2012-01-04,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,strained left hamstring (DNP)
2012-01-04,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-05,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,right knee tendinitis (DNP)
2012-01-05,Bucks,,Mike Dunleavy Jr.,sore groin (DNP)
2012-01-05,Heat,,Dwyane Wade,bruised left foot (DNP)
2012-01-05,Heat,,Mickell Gladness,left foot infection (DNP)
2012-01-05,Kings,,Donte Greene,personal reasons (DNP)
2012-01-05,Knicks,,Mike Bibby,foot injury (DNP)
2012-01-06,Hornets,,Eric Gordon,bruised right knee (DNP)
2012-01-06,Hornets,,Trevor Ariza,strained groin (DNP)
2012-01-06,Kings,,Chuck Hayes,dislocated left shoulder (out indefinitely)
2012-01-06,Magic,,DeAndre Liggins,allergic reaction (DTD)
2012-01-06,Nets,,Damion James,sprained right ankle (DTD)
2012-01-06,Nets,,MarShon Brooks,sprained left ankle (DNP)
2012-01-06,Pacers,,Lance Stephenson,sprained left ankle (DTD)
2012-01-06,Pistons,,Rodney Stuckey,groin injury (DTD)
2012-01-06,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2012-01-06,Rockets,,Kyle Lowry,bruised right foot (DTD)
2012-01-06,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,strained left hamstring (DNP)
2012-01-06,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-06,Timberwolves,Nikola Pekovic,,returned to lineup
2012-01-06,Bobcats,,Corey Maggette,strained left hamstring (DNP)
2012-01-07,Bobcats,,Corey Maggette,strained left hamstring (DNP)
2012-01-07,Bucks,,Beno Udrih,sprained/bruised left shoulder (DNP)
2012-01-07,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,right knee tendinitis (DNP)
2012-01-07,Bulls,,C.J. Watson,sprained left elbow (DNP)
2012-01-07,Heat,,Dwyane Wade,bruised left foot (DNP)
2012-01-07,Heat,,LeBron James,sprained left ankle (DNP)
2012-01-07,Hornets,,Eric Gordon,bruised right knee (DNP)
2012-01-07,Hornets,,Trevor Ariza,strained groin (DNP)
2012-01-07,Mavericks,,Jason Kidd,strained lower back (DNP)
2012-01-07,Nets,,Damion James,sore right foot (DNP)
2012-01-07,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,bruised left heel (DNP)
2012-01-07,Pacers,,Jeff Pendergraph / Jeff Ayres,sprained right knee (DTD)
2012-01-07,Pistons,,Austin Daye,sore right ankle (DNP)
2012-01-07,Pistons,,Charlie Villanueva,sore right ankle (DNP)
2012-01-07,Pistons,,Rodney Stuckey,sore groin (DNP)
2012-01-07,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2012-01-07,Rockets,,Kyle Lowry,bruised right foot (DTD)
2012-01-07,Timberwolves,,Michael Beasley,sprained right foot (out indefinitely)
2012-01-08,Bucks,,Beno Udrih,sprained/bruised left shoulder (DNP)
2012-01-08,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,right knee tendinitis (DNP)
2012-01-08,Kings,,Chuck Hayes,dislocated left shoulder (DNP)
2012-01-08,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,strained left hamstring (DNP)
2012-01-08,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-08,Timberwolves,,Michael Beasley,sprained right foot (DNP)
2012-01-08,Wizards,,Rashard Lewis,sore right knee (DNP)
2012-01-09,Bobcats,,Corey Maggette,strained left hamstring (DNP)
2012-01-09,Bulls,,C.J. Watson,sprained left elbow (DNP)
2012-01-09,Hornets,,Eric Gordon,bruised right knee (DNP)
2012-01-09,Nets,,DeShawn Stevenson,sore right knee (DNP)
2012-01-09,Pacers,,Danny Granger,food poisoning (DNP)
2012-01-09,Pacers,,George Hill,sore back (DNP)
2012-01-09,Pistons,,Charlie Villanueva,sore right ankle (DNP)
2012-01-09,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2012-01-09,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-09,Nets,,Mehmet Okur,back spasms (DNP)
2012-01-10,Bobcats,,Corey Maggette,strained left hamstring (DNP)
2012-01-10,Bobcats,,Tyrus Thomas,sprained left ankle (DNP)
2012-01-10,Bucks,,Beno Udrih,sprained/bruised left shoulder (DNP)
2012-01-10,Bulls,,C.J. Watson,sprained left elbow (DNP)
2012-01-10,Kings,,Chuck Hayes,dislocated left shoulder (DNP)
2012-01-10,Kings,,Marcus Thornton (T.),bruised left thigh (DNP)
2012-01-10,Lakers,,Troy Murphy,gastroenteritis (DNP)
2012-01-10,Pistons,,Charlie Villanueva,sore right ankle (DNP)
2012-01-10,Pistons,,Rodney Stuckey,sore groin (DNP)
2012-01-10,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2012-01-10,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-10,Timberwolves,,Michael Beasley,sprained right midfoot (DNP)
2012-01-11,76ers,,Spencer Hawes,strained lower back (DNP)
2012-01-11,Bulls,,Derrick Rose,sprained left big toe (DNP)
2012-01-11,Bulls,,Richard Hamilton,sore left groin (DNP)
2012-01-11,Celtics,,Marquis Daniels,illness (DNP)
2012-01-11,Hawks,,Tracy McGrady,back spasms (DNP)
2012-01-11,Hornets,,Eric Gordon,bruised right knee (DNP)
2012-01-11,Jazz,,Jeremy Evans,flu (DNP)
2012-01-11,Kings,,Chuck Hayes,dislocated left shoulder (DNP)
2012-01-11,Lakers,,Troy Murphy,gastroenteritis (DNP)
2012-01-11,Nets,,DeShawn Stevenson,sore right knee (DNP)
2012-01-11,Nuggets,,Ty Lawson,strained right foot (DNP)
2012-01-11,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2012-01-11,Wizards,,Andray Blatche,sore right shoulder (DTD)
2012-01-12,Bobcats,,Corey Maggette,strained left hamstring (DNP)
2012-01-12,Hawks,,Tracy McGrady,back spasms (DNP)
2012-01-12,Pistons,,Charlie Villanueva,sore right ankle (DNP)
2012-01-12,Warriors,,Dorell Wright,bruised left knee (DNP)
2012-01-12,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,right knee tendinitis (DNP)
2012-01-12,Hawks,,Marvin Williams,sprained left ankle (DNP)
2012-01-13,Bobcats,,Corey Maggette,strained left hamstring (DNP)
2012-01-13,Bobcats,,DeSagana Diop,right knee inflammation (DNP)
2012-01-13,Bucks,,Andrew Bogut,concussion (DNP)
2012-01-13,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,right knee tendinitis (DNP)
2012-01-13,Kings,,Chuck Hayes,dislocated left shoulder (DNP)
2012-01-13,Lakers,,Metta World Peace / Ron Artest,rest (DNP)
2012-01-13,Nets,,Dennis Horner,sprained left ankle (DNP)
2012-01-13,Pacers,,Jeff Foster,sore lower back (DNP)
2012-01-13,Pistons,,Charlie Villanueva,sore right ankle (DNP)
2012-01-13,Raptors,,Andrea Bargnani,strained left calf (DNP)
2012-01-13,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2012-01-13,Suns,,Grant Hill,strained right quadriceps (DNP)
2012-01-13,Suns,,Steve Nash,bruised right quadricep (DNP)
2012-01-13,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left ankle (DNP)
2012-01-13,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-13,Timberwolves,,Michael Beasley,sprained right midfoot (DNP)
2012-01-13,Wizards,,Andray Blatche,sore right shoulder (DTD)
2012-01-14,Blazers,,Marcus Camby,sprained left ankle (DNP)
2012-01-14,Bobcats,,Corey Maggette,strained left hamstring (DNP)
2012-01-14,Celtics,,Chris Wilcox,sore left calf (DNP)
2012-01-14,Clippers,,Maurice Williams / Mo Williams,sore right foot (DNP)
2012-01-14,Hawks,,Tracy McGrady,back spasms (DNP)
2012-01-14,Kings,,Chuck Hayes,dislocated left shoulder (DNP)
2012-01-14,Nets,,Shawne Williams,shin splits (DNP)
2012-01-14,Raptors,,Andrea Bargnani,strained left calf (DNP)
2012-01-14,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2012-01-14,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left ankle (DNP)
2012-01-14,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-14,Timberwolves,,Michael Beasley,sprained right midfoot (DNP)
2012-01-15,Jazz,,Josh Howard,strained left quadricep (DNP)
2012-01-15,Pistons,,Charlie Villanueva,sore right ankle (DNP)
2012-01-15,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-15,Spurs,,Malcolm Thomas (b),gastroenteritis (DNP)
2012-01-16,76ers,,Evan Turner,bruised right quadricep (DNP)
2012-01-16,Bobcats,,Corey Maggette,strained left hamstring (DNP)
2012-01-16,Bulls,,Derrick Rose,sprained left big toe / turf toe (DNP)
2012-01-16,Clippers,,Chris Paul,strained left hamstring (DNP)
2012-01-16,Clippers,,Maurice Williams / Mo Williams,sore right foot (DNP)
2012-01-16,Hornets,,Eric Gordon,bruised right knee (DNP)
2012-01-16,Kings,,Chuck Hayes,dislocated left shoulder (DNP)
2012-01-16,Nets,,Shawne Williams,shin splits (DNP)
2012-01-16,Raptors,,Andrea Bargnani,strained left calf (DNP)
2012-01-16,Raptors,,James Johnson,sprained right ankle (DNP)
2012-01-16,Raptors,,Jerryd Bayless,sprained left ankle (DNP)
2012-01-16,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left ankle (DNP)
2012-01-16,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-16,Timberwolves,,Michael Beasley,sprained right midfoot (DNP)
2012-01-16,Wizards,,Rashard Lewis,sore right knee (DNP)
2012-01-17,Bobcats,,Corey Maggette,strained left hamstring (DNP)
2012-01-17,Clippers,,Chris Paul,strained left hamstring (DNP)
2012-01-17,Clippers,,Maurice Williams / Mo Williams,sore right foot (DNP)
2012-01-17,Hawks,,Al Horford,surgery to repair torn left pectoral muscle (out for season)
2012-01-17,Heat,,Dwyane Wade,sprained right ankle (DNP)
2012-01-17,Jazz,,Derrick Favors,sprained left ankle (DNP)
2012-01-17,Jazz,,Josh Howard,strained left quadricep (DNP)
2012-01-17,Pistons,,Charlie Villanueva,sore right ankle (DNP)
2012-01-17,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-18,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-18,Clippers,,Chris Paul,strained left hamstring (DNP)
2012-01-18,Kings,,Chuck Hayes,dislocated left shoulder (DNP)
2012-01-18,Knicks,,Bill Walker,sore right knee (DNP)
2012-01-18,Mavericks,,Vince Carter,sprained left foot (DNP)
2012-01-18,Nets,,Shawne Williams,shin splits (DNP)
2012-01-18,Nuggets,,Timofey Mozgov,strained lower back (DNP)
2012-01-18,Pacers,,Jeff Foster,sore lower back (DNP)
2012-01-18,Pacers,,Jeff Pendergraph / Jeff Ayres,concussion (DNP)
2012-01-18,Pistons,,Charlie Villanueva,sore right ankle (DNP)
2012-01-18,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-18,Raptors,,Andrea Bargnani,strained left calf (DNP)
2012-01-18,Thunder,,Eric Maynor,surgery on right knee to repair torn ACL (out for season)
2012-01-18,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-18,Timberwolves,,Michael Beasley,sprained right midfoot (DNP)
2012-01-19,Jazz,,Jamaal Tinsley,dermatitis (DTD)
2012-01-19,Jazz,,Josh Howard,strained left quadricep (DNP)
2012-01-19,Mavericks,,Vince Carter,sprained left foot (DNP)
2012-01-19,Warriors,,Kwame Brown,surgery to repair torn pectoralis major muscle in chest
2012-01-20,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-20,Celtics,,Rajon Rondo,sprained right wrist (DNP)
2012-01-20,Clippers,,Chris Paul,strained left hamstring (DNP)
2012-01-20,Kings,,Chuck Hayes,dislocated left shoulder (DNP)
2012-01-20,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,bruised right heel (DNP)
2012-01-20,Pacers,,Jeff Foster,sore lower back (DNP)
2012-01-20,Pistons,,Rodney Stuckey,sore groin (DNP)
2012-01-20,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-20,Raptors,,Andrea Bargnani,strained left calf (DNP)
2012-01-20,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left ankle (DNP)
2012-01-20,Timberwolves,,Michael Beasley,sprained right midfoot (DNP)
2012-01-21,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-21,Blazers,,Gerald Wallace,finger injury (DTD)
2012-01-21,Bobcats,,Corey Maggette,strained left hamstring (DNP)
2012-01-21,Bulls,,Joakim Noah,sprained left ankle (DNP)
2012-01-21,Bulls,,John Lucas III,strained left groin (DNP)
2012-01-21,Bulls,,Taj Gibson,sprained left ankle (DNP)
2012-01-21,Jazz,,Josh Howard,strained left quadricep (DNP)
2012-01-21,Kings,,Chuck Hayes,dislocated left shoulder (DNP)
2012-01-21,Kings,,John Salmons,illness (DNP)
2012-01-21,Mavericks,,Dirk Nowitzki,sore right knee (DNP)
2012-01-21,Mavericks,,Vince Carter,sprained left foot (DNP)
2012-01-21,Nets,,Shawne Williams,shin splits (DNP)
2012-01-21,Nuggets,,Rudy Fernandez,strained right Achilles tendon (DTD)
2012-01-21,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-01-21,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-21,Spurs,,Tim Duncan,rest (DNP)
2012-01-21,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left ankle (DNP)
2012-01-21,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-21,Timberwolves,,Michael Beasley,sprained right midfoot (DNP)
2012-01-22,Bobcats,,D.J. White,bruised left knee (DNP)
2012-01-22,Celtics,,Rajon Rondo,sprained right wrist (DNP)
2012-01-22,Pacers,,Jeff Foster,sore lower back (DNP)
2012-01-23,76ers,,Nikola Vucevic,strained left quadricep / left knee injury (DNP)
2012-01-23,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-23,Bulls,,Luol Deng,torn ligament in left wrist (DNP)
2012-01-23,Celtics,,Mickael Pietrus,sore right shoulder (DNP)
2012-01-23,Celtics,,Rajon Rondo,sprained right wrist (DNP)
2012-01-23,Celtics,,Ray Allen,sprained left ankle (DNP)
2012-01-23,Kings,,Chuck Hayes,dislocated left shoulder (DNP)
2012-01-23,Kings,,Marcus Thornton (T.),bruised left thigh (DNP)
2012-01-23,Mavericks,,Dirk Nowitzki,sore right knee (DNP)
2012-01-23,Nets,,MarShon Brooks,sore left Achilles tendon (DNP)
2012-01-23,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-01-23,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-23,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left ankle (DNP)
2012-01-23,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-23,Timberwolves,,Michael Beasley,sprained right midfoot (DNP)
2012-01-23,Timberwolves,,Wesley Johnson / Wes Johnson,illness (DNP)
2012-01-24,Bobcats,,D.J. Augustine,right big toe inflammation (DNP)
2012-01-24,Bobcats,,D.J. White,bruised left knee (DNP)
2012-01-24,Nets,,Damion James,surgery on right foot to replace previously inserted screw (out for season)
2012-01-24,Pacers,,A.J. Price,strep throat (DNP)
2012-01-24,Pacers,,Jeff Foster,sore lower back (DNP)
2012-01-25,76ers,,Nikola Vucevic,strained left quadricep (DNP)
2012-01-25,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-25,Bobcats,,Gerald Henderson (b),bruised lower back (DNP)
2012-01-25,Bulls,,Luol Deng,torn ligament in left wrist (DNP)
2012-01-25,Jazz,,Al Jefferson,right ankle inflammation (DNP)
2012-01-25,Kings,,Chuck Hayes,dislocated left shoulder (DNP)
2012-01-25,Mavericks,,Dirk Nowitzki,sore right knee (DNP)
2012-01-25,Nets,,MarShon Brooks,sore left Achilles tendon (DNP)
2012-01-25,Pacers,,A.J. Price,strep throat (DNP)
2012-01-25,Pacers,,Jeff Foster,sore lower back (DNP)
2012-01-25,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-01-25,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-25,Timberwolves,,Jose Juan Barea / Jose Barea / J.J. Barea,sprained left ankle (DNP)
2012-01-25,Timberwolves,,Luke Ridnour,sore left knee (DNP)
2012-01-25,Timberwolves,,Malcolm Lee / Malcom Lee,recovering from surgery on left knee to repair torn meniscus (DNP)
2012-01-25,Timberwolves,,Michael Beasley,sprained right midfoot (DNP)
2012-01-25,Nuggets,,Arron Afflalo,strained right groin (DNP)
2012-01-26,Bucks,,Andrew Bogut,fractured left ankle (out indefinitely)
2012-01-26,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2012-01-27,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-27,Bobcats,,D.J. Augustine,right big toe inflammation (DNP)
2012-01-27,Bobcats,,D.J. White,bruised left knee (DNP)
2012-01-27,Bulls,,Richard Hamilton,bruised thigh / groin injury (DNP)
2012-01-27,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2012-01-27,Celtics,,Keyon Dooling,right hip pointer (DNP)
2012-01-27,Jazz,Jamaal Tinsley,,returned to lineup
2012-01-27,Mavericks,,Delonte West,strained right hamstring (DNP)
2012-01-27,Nets,,MarShon Brooks,sore left Achilles tendon (DNP)
2012-01-27,Nets,,Mehmet Okur,sore lower back / back spasms (DNP)
2012-01-27,Nuggets,Rudy Fernandez,,returned to lineup
2012-01-27,Pacers,,Jeff Foster,sore lower back (DNP)
2012-01-27,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-01-27,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-27,Timberwolves,,Anthony Tolliver,wrist injury (DTD)
2012-01-27,Timberwolves,,Darko Milicic,illness (DNP)
2012-01-27,Wizards,,Kevin Seraphin,dental procedure (DNP)
2012-01-28,76ers,,Spencer Hawes,strained left Achilles tendon (DNP)
2012-01-28,Bobcats,,D.J. Augustine,right big toe inflammation (DNP)
2012-01-28,Bobcats,,D.J. White,bruised left knee (DNP)
2012-01-28,Bobcats,,Gerald Henderson (b),bruised/strained lower back (DNP)
2012-01-28,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-01-28,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-29,Bulls,,C.J. Watson,wrist injury (DNP)
2012-01-29,Celtics,,Jermaine O'Neal,sore left knee (DNP)
2012-01-29,Nuggets,,Ty Lawson,sprained left ankle (DNP)
2012-01-29,Timberwolves,,Darko Milicic,illness (DNP)
2012-01-30,Bucks,,Stephen Jackson,DNP
2012-01-30,Jazz,,Al Jefferson,right ankle inflammation (DNP)
2012-01-30,Jazz,,Raja Bell,strained right adductor (DNP)
2012-01-30,Nets,,MarShon Brooks,fractured right little toe (out indefinitely)
2012-01-30,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-01-30,Pistons,,Will Bynum,strained right foot (DNP)
2012-01-30,Suns,,Steve Nash,bruised left thigh (DNP)
2012-01-30,Thunder,,Thabo Sefolosha,sore right foot (DNP)
2012-01-30,Timberwolves,,Darko Milicic,illness (DNP)
2012-01-31,Cavaliers,,Anthony Parker,strained lower back (DNP)
2012-01-31,Grizzlies,,Sam Young,back spasms (DNP)
2012-01-31,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-01-31,Nets,,Mehmet Okur,sore lower back (DNP)
2012-01-31,Pacers,,Jeff Foster,sore lower back (DNP)
2012-01-31,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-01-31,Pistons,,Will Bynum,strained right foot (DNP)
2012-02-01,Bulls,,Richard Hamilton,right thigh injury (DNP)
2012-02-01,Clippers,,Caron Butler,sore lower back (DNP)
2012-02-01,Jazz,,Raja Bell,strained right adductor (DNP)
2012-02-01,Mavericks,,Brendan Haywood,tightness in lower back (DNP)
2012-02-01,Mavericks,,Lamar Odom,stomach ailment (DNP)
2012-02-01,Nets,,Anthony Morrow,sore/sprained left ankle (DNP)
2012-02-01,Nets,,Johan Petro,stomach virus (DNP)
2012-02-01,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-02-01,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-01,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-01,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-01,Pistons,,Ben Gordon,sore left shoulder (DNP)
2012-02-01,Pistons,,Will Bynum,strained right foot (DNP)
2012-02-01,Thunder,,Thabo Sefolosha,sore right foot (DNP)
2012-02-02,Bobcats,,Gerald Henderson (b),strained right hamstring (out indefinitely)
2012-02-02,Bulls,,Richard Hamilton,right thigh injury (DNP)
2012-02-02,Hornets,,Jarrett Jack,knee injury (DTD)
2012-02-02,Jazz,,Devin Harris,strained left hamstring (DNP)
2012-02-02,Jazz,,Earl Watson,sprained left ankle (DNP)
2012-02-02,Jazz,,Raja Bell,strained right adductor (DNP)
2012-02-03,Blazers,,Greg Oden,surgery on right knee to remove debris (out indefinitely)
2012-02-03,Nets,,MarShon Brooks,fractured right little toe (DNP)
2012-02-03,Nets,,Mehmet Okur,sore lower back (DNP)
2012-02-03,Pacers,,George Hill,sprained left ankle (DNP)
2012-02-03,Pacers,,Jeff Foster,sore lower back (DNP)
2012-02-03,Pistons,,Ben Gordon,sore left shoulder (DNP)
